text_model,ds_name,method,feature_name,feature_importance
disbert,prod_sent,ensemble_25,(Tab) Product_Type,0.6326823025250368
disbert,prod_sent,ensemble_25,(Text) Product_Description,0.21734646278142467
disbert,prod_sent,ensemble_50,(Tab) Product_Type,0.4217882016833564
disbert,prod_sent,ensemble_50,(Text) Product_Description,0.4346929255628492
disbert,prod_sent,ensemble_75,(Tab) Product_Type,0.21089410084167823
disbert,prod_sent,ensemble_75,(Text) Product_Description,0.6520393883442739
disbert,prod_sent,stack,(Tab) Product_Type,0.8742859813696586
disbert,prod_sent,stack,(Text) Product_Description,0.10284105854530162
disbert,prod_sent,all_text,(Tab) Product_Type,0.8551225165873301
disbert,prod_sent,all_text,(Text) Product_Description,0.31590124378313794
disbert,prod_sent,all_text_baseline,(Tab) Product_Type,0.8504508374635498
disbert,prod_sent,all_text_baseline,(Text) Product_Description,0.4952124093282782
disbert,kick,ensemble_25,(Tab) goal,0.12480285634177728
disbert,kick,ensemble_25,(Tab) disable_communication,3.404749701669658e-05
disbert,kick,ensemble_25,(Tab) country,0.014140306898053956
disbert,kick,ensemble_25,(Tab) currency,0.0039234773419966115
disbert,kick,ensemble_25,(Tab) deadline,0.0427660225580744
disbert,kick,ensemble_25,(Tab) created_at,0.09600441447548257
disbert,kick,ensemble_25,(Text) name,0.035263454629236704
disbert,kick,ensemble_25,(Text) desc,0.048732800132400104
disbert,kick,ensemble_25,(Text) keywords,0.025063119866390492
disbert,kick,ensemble_50,(Tab) goal,0.08224288854497123
disbert,kick,ensemble_50,(Tab) disable_communication,0.00022549715381404737
disbert,kick,ensemble_50,(Tab) country,0.009083936449577057
disbert,kick,ensemble_50,(Tab) currency,0.0029469122571455482
disbert,kick,ensemble_50,(Tab) deadline,0.023533137746479815
disbert,kick,ensemble_50,(Tab) created_at,0.058719563337052944
disbert,kick,ensemble_50,(Text) name,0.07052690925847334
disbert,kick,ensemble_50,(Text) desc,0.09746560026480011
disbert,kick,ensemble_50,(Text) keywords,0.05012623973278091
disbert,kick,ensemble_75,(Tab) goal,0.038530959082260015
disbert,kick,ensemble_75,(Tab) disable_communication,0.000694311522816433
